question,response,date_time,model_name
测试,测试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听，以光先帝遗德，恢弘志士之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。宫中府中，俱为一体，陟罚臧否，不宜异同。若有作奸犯科及为忠善者，宜付有司论其刑赏，以昭陛下平明之理，不宜偏私，使内外异法也。侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。愚以为宫中之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督。愚以为营中之事，悉以咨之，必能使行阵和睦，优劣得所。亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也。侍中、尚书、长史、参军，此悉贞良死节之臣，愿陛下亲之信之，则汉室之隆，可计日而待也。臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯。先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事，由是感激，遂许先帝以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来二十有一年矣。先帝知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤先帝之明，故五月渡泸，深入不毛。今南方已定，兵甲已足，当奖率三军，北定中原，庶竭驽钝，攘除奸凶，兴复汉室，还于旧都。此臣所以报先帝而忠陛下之职分也。至于斟酌损益，进尽忠言，则攸之、祎、允之任也。愿陛下托臣以讨贼兴复之效，不效，则治臣之罪，以告先帝之灵。若无兴德之言，则责攸之、祎、允等之慢，以彰其咎；陛下亦宜自谋，以咨诹善道，察纳雅言，深追先帝遗诏，臣不胜受恩感激。今当远离，临表涕零，不知所言。,2023-12-19 16:17:58,qianfan
测定,测试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听，以光先帝遗德，恢弘志士之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。宫中府中，俱为一体，陟罚臧否，不宜异同。若有作奸犯科及为忠善者，宜付有司论其刑赏，以昭陛下平明之理，不宜偏私，使内外异法也。侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。愚以为宫中之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督。愚以为营中之事，悉以咨之，必能使行阵和睦，优劣得所。亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也。侍中、尚书、长史、参军，此悉贞良死节之臣，愿陛下亲之信之，则汉室之隆，可计日而待也。臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯。先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事，由是感激，遂许先帝以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来二十有一年矣。先帝知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤先帝之明，故五月渡泸，深入不毛。今南方已定，兵甲已足，当奖率三军，北定中原，庶竭驽钝，攘除奸凶，兴复汉室，还于旧都。此臣所以报先帝而忠陛下之职分也。至于斟酌损益，进尽忠言，则攸之、祎、允之任也。愿陛下托臣以讨贼兴复之效，不效，则治臣之罪，以告先帝之灵。若无兴德之言，则责攸之、祎、允等之慢，以彰其咎；陛下亦宜自谋，以咨诹善道，察纳雅言，深追先帝遗诏，臣不胜受恩感激。今当远离，临表涕零，不知所言。,2023-12-19 16:30:39,qianfan
111,测试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听，以光先帝遗德，恢弘志士之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。宫中府中，俱为一体，陟罚臧否，不宜异同。若有作奸犯科及为忠善者，宜付有司论其刑赏，以昭陛下平明之理，不宜偏私，使内外异法也。侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。愚以为宫中之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督。愚以为营中之事，悉以咨之，必能使行阵和睦，优劣得所。亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也。侍中、尚书、长史、参军，此悉贞良死节之臣，愿陛下亲之信之，则汉室之隆，可计日而待也。臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯。先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事，由是感激，遂许先帝以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来二十有一年矣。先帝知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤先帝之明，故五月渡泸，深入不毛。今南方已定，兵甲已足，当奖率三军，北定中原，庶竭驽钝，攘除奸凶，兴复汉室，还于旧都。此臣所以报先帝而忠陛下之职分也。至于斟酌损益，进尽忠言，则攸之、祎、允之任也。愿陛下托臣以讨贼兴复之效，不效，则治臣之罪，以告先帝之灵。若无兴德之言，则责攸之、祎、允等之慢，以彰其咎；陛下亦宜自谋，以咨诹善道，察纳雅言，深追先帝遗诏，臣不胜受恩感激。今当远离，临表涕零，不知所言。,2023-12-19 16:47:04,qianfan
1,测试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听，以光先帝遗德，恢弘志士之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。宫中府中，俱为一体，陟罚臧否，不宜异同。若有作奸犯科及为忠善者，宜付有司论其刑赏，以昭陛下平明之理，不宜偏私，使内外异法也。侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。愚以为宫中之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督。愚以为营中之事，悉以咨之，必能使行阵和睦，优劣得所。亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也。侍中、尚书、长史、参军，此悉贞良死节之臣，愿陛下亲之信之，则汉室之隆，可计日而待也。臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯。先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事，由是感激，遂许先帝以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来二十有一年矣。先帝知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤先帝之明，故五月渡泸，深入不毛。今南方已定，兵甲已足，当奖率三军，北定中原，庶竭驽钝，攘除奸凶，兴复汉室，还于旧都。此臣所以报先帝而忠陛下之职分也。至于斟酌损益，进尽忠言，则攸之、祎、允之任也。愿陛下托臣以讨贼兴复之效，不效，则治臣之罪，以告先帝之灵。若无兴德之言，则责攸之、祎、允等之慢，以彰其咎；陛下亦宜自谋，以咨诹善道，察纳雅言，深追先帝遗诏，臣不胜受恩感激。今当远离，临表涕零，不知所言。,2023-12-19 16:49:50,qianfan
11111,测试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听，以光先帝遗德，恢弘志士之气，不宜妄自菲薄，引喻失义，以塞忠谏之路也。宫中府中，俱为一体，陟罚臧否，不宜异同。若有作奸犯科及为忠善者，宜付有司论其刑赏，以昭陛下平明之理，不宜偏私，使内外异法也。侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。愚以为宫中之事，事无大小，悉以咨之，然后施行，必能裨补阙漏，有所广益。将军向宠，性行淑均，晓畅军事，试用于昔日，先帝称之曰能，是以众议举宠为督。愚以为营中之事，悉以咨之，必能使行阵和睦，优劣得所。亲贤臣，远小人，此先汉所以兴隆也；亲小人，远贤臣，此后汉所以倾颓也。先帝在时，每与臣论此事，未尝不叹息痛恨于桓、灵也。侍中、尚书、长史、参军，此悉贞良死节之臣，愿陛下亲之信之，则汉室之隆，可计日而待也。臣本布衣，躬耕于南阳，苟全性命于乱世，不求闻达于诸侯。先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事，由是感激，遂许先帝以驱驰。后值倾覆，受任于败军之际，奉命于危难之间，尔来二十有一年矣。先帝知臣谨慎，故临崩寄臣以大事也。受命以来，夙夜忧叹，恐托付不效，以伤先帝之明，故五月渡泸，深入不毛。今南方已定，兵甲已足，当奖率三军，北定中原，庶竭驽钝，攘除奸凶，兴复汉室，还于旧都。此臣所以报先帝而忠陛下之职分也。至于斟酌损益，进尽忠言，则攸之、祎、允之任也。愿陛下托臣以讨贼兴复之效，不效，则治臣之罪，以告先帝之灵。若无兴德之言，则责攸之、祎、允等之慢，以彰其咎；陛下亦宜自谋，以咨诹善道，察纳雅言，深追先帝遗诏，臣不胜受恩感激。今当远离，临表涕零，不知所言。,2023-12-19 16:52:02,qianfan
1,222,2023-12-19 16:53:58,qianfan
"{'': {'interactive': True, '__type__': 'update'}}",222,2023-12-19 16:54:11,qianfan
1,222,2023-12-19 16:54:16,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 16:56:09,qianfan
1111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 17:02:46,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 17:17:21,qianfan
11,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 17:17:57,qianfan
ee,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 17:18:20,qianfan
11,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 18:03:30,qianfan
111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 19:05:39,qianfan
"{'111': {'interactive': False, '__type__': 'update'}}",试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 19:05:56,qianfan
000,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 19:33:53,qianfan
99,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 19:34:02,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:23:48,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:29:12,qianfan
111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:30:38,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:32:26,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:36:05,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:38:49,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-19 20:39:57,qianfan
你好,你好，有什么可以帮助你的吗？,2023-12-19 21:09:40,EduChat
请问如何构建一元二次方程,"构建一元二次方程的通用公式为：ax2 + bx + c = 0，其中a、b、c为已知系数，x为未知数。

具体构建步骤如下：

1. 确定方程的类型：一元二次方程可以分为标准形式和一般形式。标准形式为ax2 + bx + c = 0，一般形式为ax2 + bx + c = d，其中d为任意实数。

2. 确定已知系数：已知系数包括a、b、c、d。

3. 确定未知数：未知数为x。

4. 将已知系数代入方程中，得到一个关于x的二次方程。

5. 解方程，得到未知数的值。

例如，如果已知一元二次方程的一般形式为ax2 + bx + c = d，且a、b、c、d均为已知实数，那么可以通过以下步骤构建方程：

1. 确定方程类型：此方程为一般形式。

2. 确定已知系数：a、b、c、d均为已知实数。

3. 确定未知数：未知数为x。

4. 将已知系数代入方程中，得到一个关于x的二次方程：ax2 + bx + c = d。

5. 解方程，得到未知数的值。

需要注意的是，构建一元二次方程时需要满足方程的系数满足一定的条件，例如a≠0。",2023-12-19 21:10:55,EduChat
我最近很焦虑怎么办,"焦虑是一种常见的情绪，但它可能会影响你的日常生活。以下是一些应对焦虑的方法：

1. 深呼吸：尝试通过深呼吸来放松身体和头脑。慢慢地吸气，数到四，然后缓慢地呼气，数到八。

2. 找到放松的方法：找到一些适合你的放松方法，例如冥想、瑜伽或按摩。

3. 与他人交流：与朋友或家人谈论你的感受，或者寻求专业帮助。

4. 做运动：运动可以帮助你释放紧张和焦虑，同时提高身体健康。

5. 避免过度使用社交媒体：社交媒体可能会让你感到更加焦虑，因此尽量减少使用。

6. 睡眠充足：保持良好的睡眠习惯可以帮助你缓解焦虑。

7. 改变思维方式：尝试改变你的思维方式，例如寻找积极的方面，或者将焦虑视为一种挑战。

如果你感到焦虑的程度比较严重，或者持续时间较长，建议寻求专业帮助。",2023-12-19 21:16:04,EduChat
如何构建一元二次方程,"首先，我们需要知道一元二次方程的一般形式，即ax^2 + bx + c = 0，其中a、b、c是已知常数，x是未知数。

那么，如何构建一元二次方程呢？我们可以根据题目中给出的条件来确定a、b、c的值，然后代入方程式中，求解出x的值。

例如，如果题目中给出了方程ax^2 + bx + c = 0，且已知a、b、c的值，那么我们可以将这些值代入方程式中，得到一个一元二次方程。

接下来，我们可以使用求根公式或配方法来求解出x的值。",2023-12-19 21:17:19,EduChat
1+1,<Response [200]>,2023-12-19 21:18:02,qianfan
2+2,"
 4",2023-12-19 21:18:16,ChatGLM3
2+2,2+2=4,2023-12-19 21:19:29,qwen-max
1+1,"
 2",2023-12-19 21:19:47,ChatGLM3
今天周几,"
 抱歉，作为一个人工智能助手，我无法实时获取当前日期。请查看您的设备上的日期功能以获取准确的信息。",2023-12-19 21:22:26,ChatGLM3
今天周几,"
 抱歉，作为一个人工智能助手，我无法实时获取当前日期。请查看您的设备上的日期功能以获取准确的信息。",2023-12-19 21:24:02,ChatGLM3
今天周几,"
 抱歉，作为一个人工智能助手，我无法实时获取当前日期。请查看您的设备上的日期功能以获取准确的信息。",2023-12-19 21:27:58,ChatGLM3
你好,有什么问题我可以帮您解答吗,2023-12-19 21:31:23,EduChat
如何教导一个差学生,你是指哪方面的差学生？是数学、语文、还是其他学科？,2023-12-19 21:31:35,EduChat
数学吧,那我们假设这个学生在数学上表现不佳，我们该如何开始教学呢？,2023-12-19 21:31:49,EduChat
如何教学数学呢,数学是一门需要逻辑思维和实践操作的学科，我们可以从基础开始，一步一步地进行教学。,2023-12-19 21:32:05,EduChat
1+1,1+1=2,2023-12-19 21:32:16,qwen-max
2+2,<Response [200]>,2023-12-19 21:32:25,qianfan
1+2,"
 3",2023-12-19 21:33:17,ChatGLM3
1+1,"
 The result of 1+1 is 2.",2023-12-19 21:34:23,ChatGLM3
最近很焦虑怎办,听起来你正面临一些让你感到焦虑的事情。焦虑是一种很常见的情绪，但它对我们的生活和健康有负面影响。我很高兴你选择向我倾诉。我们可以一起来探索一些应对焦虑的方法。首先，我想了解一下你感到焦虑的具体原因是什么？,2023-12-19 21:38:48,EduChat
比如我经常不开心,嗨！听起来你正在经历一些情绪上的挑战。你能告诉我更多关于你感到不开心的情况吗？有什么具体的事情或情境让你感到不开心呢？,2023-12-19 21:39:11,EduChat
我最近感觉学习压力有点大,我明白学习压力可能会让你感到不开心。可以告诉我一些具体的学习方面让你感到压力大吗？比如，你最近在学习上遇到了哪些挑战？,2023-12-19 21:39:31,EduChat
我感觉数学课太难了，老师讲的不太懂,数学课确实可能会对一些人来说比较具有挑战性。我可以理解你对于数学课感到困惑和压力。在面对这种困难时，你有没有尝试过寻求帮助或者寻找一些额外的学习资源来提高自己的数学能力呢？,2023-12-19 21:39:57,EduChat
1+1,"
 The result of 1+1 is 2.",2023-12-19 21:40:55,ChatGLM3
1+1,"
 The result of 1+1 is 2.",2023-12-19 21:42:08,ChatGLM3
1+1,"
 The result of 1+1 is 2.",2023-12-19 21:42:41,ChatGLM3
4+4,4+4=8.,2023-12-19 21:44:19,EduChat
2+2,2+2等于4。,2023-12-19 21:44:53,EduChat
1+1,The result of 1+1 is 2.,2023-12-19 22:01:46,ChatGLM3
11,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 10:00:25,qianfan
212,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 10:01:30,qianfan
我去饿我去恶趣味,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 13:14:09,qianfan
你好,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 13:16:22,qianfan
1111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 13:27:27,qianfan
111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 14:01:13,qianfan
111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 14:51:53,qianfan
11,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 16:19:01,qianfan
111,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 17:17:28,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 17:17:50,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 17:22:16,qianfan
1,试先帝创业未半而中道崩殂，今天下三分，益州疲弊，此诚危急存亡之秋也。然侍卫之臣不懈于内，忠志之士忘身于外者，盖追先帝之殊遇，欲报之于陛下也。诚宜开张圣听,2023-12-20 19:41:05,qianfan
